2018-08-16 21:55:47,忘卿209,耒阳,5,很好看，绝望中人性表露完美，主题深刻。令人回味。
2018-08-16 21:55:39,FeT785541372,抚州,1.5,真心不好看，人都睡着了
2018-08-16 21:55:37,love贤forever9,岳阳,5,好看！给我艺兴打call！演技进步太大了！甩扑克牌那一下简直帅哭了！爱张艺兴❤❤
2018-08-16 21:55:34,osQ337059779,漯河,5,内容丰富，挺好看的
2018-08-16 21:55:31,chv408668101,阜阳,5,电影很不错，让我体会到灾难并不可怕，可怕的是人心。
2018-08-16 21:55:31,BPq739881005,中山,5,好看，，，，
2018-08-16 21:55:30,wDT334721884,宿迁,3,有些沉重，还行吧
2018-08-16 21:55:24,莫要欺负少年穷,顺德,5,好看，一部讲命重要还是钱重要的电影。
2018-08-16 21:55:21,bFo110739771,佛山,2.5,还是做演员的好！
2018-08-16 21:55:17,门捷列夫的跃迁,芜湖,5,真的特别精彩！♥
2018-08-16 21:55:16,sDw530179318,任丘,3.5,不错！！！！！
2018-08-16 21:55:06,Yrp625133603,阜阳,4,不好看，太假了
2018-08-16 21:55:05,Kfs833695778,武汉,2.5,真心话一般般
2018-08-16 21:54:45,oeT360138682,重庆,1.5,这几年来看过的最烂的电影，最奇怪的是**的评分居然8点儿几，骗老子几十块钱倒是小事儿，最主要是美好的一天让这破电影给破坏了。
2018-08-16 21:54:42,KqT353945275,东莞,0,垃圾片，不要去看
2018-08-16 21:55:39,FeT785541372,抚州,1.5,真心不好看，人都睡着了
2018-08-16 21:55:37,love贤forever9,岳阳,5,好看！给我艺兴打call！演技进步太大了！甩扑克牌那一下简直帅哭了！爱张艺兴❤❤
2018-08-16 21:55:34,osQ337059779,漯河,5,内容丰富，挺好看的
2018-08-16 21:55:31,chv408668101,阜阳,5,电影很不错，让我体会到灾难并不可怕，可怕的是人心。
2018-08-16 21:55:31,BPq739881005,中山,5,好看，，，，
2018-08-16 21:55:30,wDT334721884,宿迁,3,有些沉重，还行吧
2018-08-16 21:55:24,莫要欺负少年穷,顺德,5,好看，一部讲命重要还是钱重要的电影。
2018-08-16 21:55:21,bFo110739771,佛山,2.5,还是做演员的好！
2018-08-16 21:55:17,门捷列夫的跃迁,芜湖,5,真的特别精彩！♥
2018-08-16 21:55:16,sDw530179318,任丘,3.5,不错！！！！！
2018-08-16 21:55:06,Yrp625133603,阜阳,4,不好看，太假了
2018-08-16 21:55:05,Kfs833695778,武汉,2.5,真心话一般般
2018-08-16 21:54:45,oeT360138682,重庆,1.5,这几年来看过的最烂的电影，最奇怪的是**的评分居然8点儿几，骗老子几十块钱倒是小事儿，最主要是美好的一天让这破电影给破坏了。
2018-08-16 21:54:42,KqT353945275,东莞,0,垃圾片，不要去看
2018-08-16 21:54:34,艾草的幸福,揭阳,5,朋友说挺好看的，比爱情公寓和西虹市首富好看多了
2018-08-16 21:55:37,love贤forever9,岳阳,5,好看！给我艺兴打call！演技进步太大了！甩扑克牌那一下简直帅哭了！爱张艺兴❤❤
2018-08-16 21:55:34,osQ337059779,漯河,5,内容丰富，挺好看的
2018-08-16 21:55:31,chv408668101,阜阳,5,电影很不错，让我体会到灾难并不可怕，可怕的是人心。
2018-08-16 21:55:31,BPq739881005,中山,5,好看，，，，
2018-08-16 21:55:30,wDT334721884,宿迁,3,有些沉重，还行吧
2018-08-16 21:55:24,莫要欺负少年穷,顺德,5,好看，一部讲命重要还是钱重要的电影。
2018-08-16 21:55:21,bFo110739771,佛山,2.5,还是做演员的好！
2018-08-16 21:55:17,门捷列夫的跃迁,芜湖,5,真的特别精彩！♥
2018-08-16 21:55:16,sDw530179318,任丘,3.5,不错！！！！！
2018-08-16 21:55:06,Yrp625133603,阜阳,4,不好看，太假了
2018-08-16 21:55:05,Kfs833695778,武汉,2.5,真心话一般般
2018-08-16 21:54:45,oeT360138682,重庆,1.5,这几年来看过的最烂的电影，最奇怪的是**的评分居然8点儿几，骗老子几十块钱倒是小事儿，最主要是美好的一天让这破电影给破坏了。
2018-08-16 21:54:42,KqT353945275,东莞,0,垃圾片，不要去看
2018-08-16 21:54:34,艾草的幸福,揭阳,5,朋友说挺好看的，比爱情公寓和西虹市首富好看多了
2018-08-16 21:54:33,Stanly692,深圳,4.5,一群现代人在特定的生活环境下，为了生存而抛弃了原有的身份、地位、金钱和观念，从不同角度展示出人类社会发展过程中的认识冲突和生活进化过程，以及人与人之间的信任、友谊和爱情，高度概括了现代社会存在的若干不良现象和基本矛盾，意味深长。加上演员的高超演技和精彩台词，使人感到黄渤导演的第一部电影真是水平挺高，内容丰富，值得称赞！
2018-08-16 21:55:34,osQ337059779,漯河,5,内容丰富，挺好看的
2018-08-16 21:55:31,chv408668101,阜阳,5,电影很不错，让我体会到灾难并不可怕，可怕的是人心。
2018-08-16 21:55:31,BPq739881005,中山,5,好看，，，，
2018-08-16 21:55:30,wDT334721884,宿迁,3,有些沉重，还行吧
2018-08-16 21:55:24,莫要欺负少年穷,顺德,5,好看，一部讲命重要还是钱重要的电影。
2018-08-16 21:55:21,bFo110739771,佛山,2.5,还是做演员的好！
2018-08-16 21:55:17,门捷列夫的跃迁,芜湖,5,真的特别精彩！♥
2018-08-16 21:55:16,sDw530179318,任丘,3.5,不错！！！！！
2018-08-16 21:55:06,Yrp625133603,阜阳,4,不好看，太假了
2018-08-16 21:55:05,Kfs833695778,武汉,2.5,真心话一般般
2018-08-16 21:54:45,oeT360138682,重庆,1.5,这几年来看过的最烂的电影，最奇怪的是**的评分居然8点儿几，骗老子几十块钱倒是小事儿，最主要是美好的一天让这破电影给破坏了。
2018-08-16 21:54:42,KqT353945275,东莞,0,垃圾片，不要去看
2018-08-16 21:54:34,艾草的幸福,揭阳,5,朋友说挺好看的，比爱情公寓和西虹市首富好看多了
2018-08-16 21:54:33,Stanly692,深圳,4.5,一群现代人在特定的生活环境下，为了生存而抛弃了原有的身份、地位、金钱和观念，从不同角度展示出人类社会发展过程中的认识冲突和生活进化过程，以及人与人之间的信任、友谊和爱情，高度概括了现代社会存在的若干不良现象和基本矛盾，意味深长。加上演员的高超演技和精彩台词，使人感到黄渤导演的第一部电影真是水平挺高，内容丰富，值得称赞！
2018-08-16 21:54:31,CnT63527286,合肥,4,整部影片说明的是一堆人在荒岛上求生。
2018-08-16 21:55:31,chv408668101,阜阳,5,电影很不错，让我体会到灾难并不可怕，可怕的是人心。
2018-08-16 21:55:31,BPq739881005,中山,5,好看，，，，
2018-08-16 21:55:30,wDT334721884,宿迁,3,有些沉重，还行吧
2018-08-16 21:55:24,莫要欺负少年穷,顺德,5,好看，一部讲命重要还是钱重要的电影。
2018-08-16 21:55:21,bFo110739771,佛山,2.5,还是做演员的好！
2018-08-16 21:55:17,门捷列夫的跃迁,芜湖,5,真的特别精彩！♥
2018-08-16 21:55:16,sDw530179318,任丘,3.5,不错！！！！！
2018-08-16 21:55:06,Yrp625133603,阜阳,4,不好看，太假了
2018-08-16 21:55:05,Kfs833695778,武汉,2.5,真心话一般般
2018-08-16 21:54:45,oeT360138682,重庆,1.5,这几年来看过的最烂的电影，最奇怪的是**的评分居然8点儿几，骗老子几十块钱倒是小事儿，最主要是美好的一天让这破电影给破坏了。
2018-08-16 21:54:42,KqT353945275,东莞,0,垃圾片，不要去看
2018-08-16 21:54:34,艾草的幸福,揭阳,5,朋友说挺好看的，比爱情公寓和西虹市首富好看多了
2018-08-16 21:54:33,Stanly692,深圳,4.5,一群现代人在特定的生活环境下，为了生存而抛弃了原有的身份、地位、金钱和观念，从不同角度展示出人类社会发展过程中的认识冲突和生活进化过程，以及人与人之间的信任、友谊和爱情，高度概括了现代社会存在的若干不良现象和基本矛盾，意味深长。加上演员的高超演技和精彩台词，使人感到黄渤导演的第一部电影真是水平挺高，内容丰富，值得称赞！
2018-08-16 21:54:31,CnT63527286,合肥,4,整部影片说明的是一堆人在荒岛上求生。
